CMS_ID,Ecosystem_Name,provider_name,address,city,state,zip_code,county,County_count,State_Srv,Ownership_Type,Lab_Service_Binary,Pharm_Service_Binary,Nursing_Service_Binary,PT_Service_Binary,OT_Service_Binary,Speech_Service_Binary,Med_SS_Service_Binary,HH_Aide_Service_Binary,date_certified,quality_of_patient_care_star_rating,hhcahps_survey_summary_star_rating,how_often_the_home_health_team_began_their_patients’_care_in_a_timely_manner,qm_timely_manner_county_ptile,qm_timely_manner_ptile,how_often_the_home_health_team_taught_patients_or_their_family_caregivers_about_their_drugs,qm_teach_drugs_county_ptile,qm_teach_drugs_ptile,how_often_the_home_health_team_checked_patients’_risk_of_falling,qm_risk_falling_county_ptile,qm_risk_falling_ptile,how_often_the_home_health_team_checked_patients_for_depression,qm_depression_county_ptile,qm_depression_ptile,how_often_the_home_health_team_determined_whether_patients_received_a_flu_shot_for_the_currnet_flu_season,qm_flu_shot_county_ptile,qm_flu_shot_ptile,how_often_the_home_health_team_made_sure_that_their_patients_have_received_a_pneumococcal_vaccine_pneumonia_shot,qm_pneum_shot_county_ptile,qm_pneum_shot_ptile,with_diabetes_how_often_the_home_health_team_got_doctor’s_orders_gave_foot_care_and_taught_patients_about_foot_care,qm_diabetes_footcare_county_ptile,qm_diabetes_footcare_ptile,how_often_patients_got_better_at_walking_or_moving_around,qm_improv_mobil_county_ptile,qm_improv_mobil_ptile,how_often_patients_got_better_at_getting_in_and_out_of_bed,qm_improv_trans_county_ptile,qm_improv_trans_ptile,how_often_patients_got_better_at_bathing,qm_bathing_county_ptile,qm_bathing_ptile,how_often_patients_had_less_pain_when_moving_around,qm_pain_moving_county_ptile,qm_pain_moving_ptile,how_often_patients’_breathing_improved,qm_breathing_county_ptile,qm_breathing_ptile,how_often_patients’_wounds_improved_or_healed_after_an_operation,qm_improv_wounds_county_ptile,qm_improv_wounds_ptile,how_often_patients_got_better_at_taking_their_drugs_correctly_by_mouth,qm_correct_meds_county_ptile,qm_correct_meds_ptile,how_often_home_health_patients_had_to_be_admitted_to_the_hospital,qm_admit_hosp_ptile,qm_hosp_admit_ptile_rank,how_often_patients_receiving_home_health_care_needed_urgent_unplanned_care_in_the_er_without_being_admitted,qm_urgent_care_norehosp_county_ptile,qm_urgent_care_no_hosp_ptile,qm_urgent_care_no_hosp_rank,how_often_home_health_patients_who_have_had_a_recent_hospital_stay_had_to_be_re-admitted_to_the_hospital,qm_pac_hosp_admitt_rank,how_often_home_health_patients_who_have_had_a_recent_hospital_stay_received_care_in_the_hospital_emergency_room_without_being_readmitted_to_the_hospital,qm_pac_urgent_care_no_hosp_rank,pred_all_diff_ptile_rank,pred_med_diff_ptile_rank,pred_chf_diff_ptile_rank,pred_med_high_diff_ptile_rank,pred_med_low_diff_ptile_rank,pred_surg_high_risk_diff_ptile_rank,pred_surg_diff_ptile_rank,pred_surg_low_risk_diff_ptile_rank,pred_lung_diff_ptile_rank,pred_all_comp_rate,pred_all_state_rate,pred_med_other_comp_rate,pred_med_other_state_rate,pred_surg_other_comp_rate,pred_surg_other_state_rate,pred_CHF_comp_rate,pred_CHF_state_rate,pred_med_high_comp_rate,pred_med_high_state_rate,pred_med_low_comp_rate,pred_med_low_state_rate,pred_surg_high_comp_rate,pred_surg_high_state_rate,pred_surg_low_comp_rate,pred_surg_low_state_rate,pred_lung_diff_comp_rate,pred_lung_diff_state_rate,percent_of_patients_who_reported_that_their_home_health_team_gave_care_in_a_professional_way,hcaps_prof_care_county_ptile,hcaps_prof_care_ptile,percent_of_patients_who_reported_that_their_home_health_team_communicated_well_with_them,hcaps_communicated_county_ptile,hcaps_communicated_ptile,hcaps_definitely_recommend_county_ptile,hcaps_definitely_recommend_ptile,hcaps_discuss_med_county_ptile,hcaps_discuss_med_ptile,hcaps_prof_care_county_ptile,hcaps_prof_care_ptile,percent_of_patients_who_reported_that_their_home_health_team_discussed_medicines_pain_and_home_safety_with_them,percent_of_patients_who_gave_their_home_health_agency_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,hcaps_above_8_county_ptile,hcaps_above_8_ptile,percent_of_patients_who_reported_yes_they_would_definitely_recommend_the_home_health_agency_to_friends_and_family,hcaps_definitely_recommend_county_ptile,hcaps_definitely_recommend_ptile,alleg_state_mean,alleg_total,rehosp_alleg_state_mean,sub_alleg_state_mean,sub_alleg_sum,total_weight_alleg,alleg_county_mean,total_sub_alleg,total_rehosp_alleg,sub_alleg_county_mean,rehosp_alleg_county_mean,def_county_mean,def_state_mean,def_total,comp_bin_county_mean,comp_bin_state_mean,number_of_completed_surveys,response_rate,CRTFCTN_DT,CRTFCTN_UPDT_DT,Reporting_Month
'103167,FL_Alachua,All About Home Care Management Llc,6158 SW STATE RD 200 STE 200,OCALA,FL,32608,Alachua,40.0,FL,For-Profit,No,No,Yes,Yes,Yes,Yes,Yes,Yes,12/19/2012,4.0,4,0.9490000000000001,17.0,22.0,0.991,32.0,42.0,0.997,15.0,24.0,0.9940000000000001,60.0,58.0,0.597,8.0,14.0,0.625,5.0,15.0,0.978,23.0,30.0,0.7609999999999999,18.0,28.0,0.92,97.0,94.0,0.8340000000000001,49.0,47.0,0.8390000000000001,54.0,48.0,0.828,36.0,49.0,0.943,33.0,41.0,0.6629999999999999,13.0,28.0,0.161,56.0,C,0.14400000000000002,100.0,89.0,N/A,Same As Expected,C,Same As Expected,C,N/A,N/A,C,N/A,C,B,B,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.08447946591005273,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.16155532829801603,0.1686206538,0.07476290969191579,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588,0.92,96.0,86.0,0.9,95.0,87.0,29.0,29.0,57.0,63.0,96.0,86.0,0.83,0.82,42.0,37.0,0.74,29.0,29.0,0.16610284167794317,,0.05040595399188092,0.036535859269282815,108.0,,0.125,,,0.0,0.05,0.175,0.2469553450608931,,0.025,0.05886332882273342,89,32,20151210,20181221.0,2019/09
'107403,FL_Alachua,Amedisys Home Health,1045 OLD MILL RUN,THE VILLAGES,FL,32608,Alachua,40.0,FL,For-Profit,No,No,Yes,Yes,Yes,Yes,Yes,Yes,09/07/1990,4.0,3,0.993,81.0,75.0,0.998,72.0,73.0,1.0,67.0,71.0,0.945,12.0,14.0,0.675,22.0,25.0,0.713,36.0,31.0,0.953,13.0,16.0,0.79,46.0,44.0,0.789,47.0,44.0,0.807,21.0,31.0,0.8340000000000001,49.0,46.0,0.8859999999999999,82.0,79.0,0.917,17.0,22.0,0.682,22.0,36.0,0.142,30.0,B,0.139,92.0,84.0,E,Same As Expected,C,Same As Expected,C,N/A,N/A,D,N/A,C,B,B,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.08447946591005273,0.07891721970000001,0.16522647051117487,0.1683925272,0.1999763201635727,0.1999792872,0.16155532829801603,0.1686206538,0.07476290969191579,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588,0.83,7.0,10.0,0.83,25.0,32.0,16.0,18.0,22.0,35.0,7.0,10.0,0.79,0.75,7.0,8.0,0.7,16.0,18.0,0.16610284167794317,,0.05040595399188092,0.036535859269282815,108.0,,0.125,,,0.0,0.05,0.175,0.2469553450608931,,0.025,0.05886332882273342,106,24,20180301,20180802.0,2019/09
'109669,FL_Alachua,Amedisys Home Health,2772 NW 43RD ST STE C,GAINESVILLE,FL,32606,Alachua,40.0,FL,For-Profit,No,No,Yes,Yes,Yes,Yes,Yes,Yes,01/24/2011,4.0,4,0.9840000000000001,60.0,58.0,1.0,90.0,91.0,1.0,67.0,71.0,0.9490000000000001,15.0,15.0,0.747,49.0,43.0,0.7170000000000001,38.0,32.0,0.9890000000000001,49.0,46.0,0.8,54.0,51.0,0.784,44.0,41.0,0.8140000000000001,24.0,35.0,0.826,44.0,44.0,0.7909999999999999,15.0,33.0,,,,0.792,72.0,76.0,0.158,51.0,C,0.11699999999999999,59.0,54.0,C,Same As Expected,C,Same As Expected,C,N/A,N/A,C,N/A,D,C,B,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.08447946591005273,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.14522646158104066,0.1686206538,0.06693840071696654,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588,0.9,76.0,72.0,0.89,83.0,81.0,41.0,39.0,96.0,90.0,76.0,72.0,0.88,0.87,80.0,72.0,0.76,41.0,39.0,0.16610284167794317,,0.05040595399188092,0.036535859269282815,108.0,,0.125,,,0.0,0.05,0.175,0.2469553450608931,,0.025,0.05886332882273342,71,29,20170112,20181204.0,2019/09
'107282,FL_Alachua,Baycare Home Care Inc,20 LAKE WIRE DR STE 230,LAKELAND,FL,32640,Alachua,40.0,FL,Non-Profit,No,No,Yes,Yes,Yes,Yes,Yes,Yes,06/15/1989,4.5,3,0.963,28.0,33.0,0.996,54.0,61.0,1.0,67.0,71.0,1.0,94.0,87.0,0.848,85.0,78.0,0.845,87.0,76.0,1.0,87.0,84.0,0.8370000000000001,81.0,73.0,0.846,79.0,79.0,0.9159999999999999,90.0,86.0,0.894,77.0,72.0,0.909,90.0,84.0,0.951,39.0,48.0,0.894,97.0,94.0,0.16899999999999998,70.0,C,0.11699999999999999,59.0,54.0,C,Worse Than Expected,D,Worse Than Expected,D,N/A,D,B,N/A,E,D,E,D,C,0.1654735041007257,0.1654796643,0.16323556765177735,0.1968206112,0.05715285074680709,0.07891721970000001,0.17159265231340243,0.1683925272,0.1999763201635727,0.1999792872,0.13951623684004513,0.1686206538,0.05997008360517951,0.0641277957,0.05221834576595843,0.1209888648,0.06106333233641651,0.2041557588,0.87,37.0,38.0,0.87,59.0,64.0,49.0,45.0,33.0,42.0,37.0,38.0,0.8,0.85,58.0,56.0,0.77,49.0,45.0,0.16610284167794317,,0.05040595399188092,0.036535859269282815,108.0,,0.125,,,0.0,0.05,0.175,0.2469553450608931,1.0,0.025,0.05886332882273342,1210,34,20170630,20181029.0,2019/09
'107285,FL_Alachua,Baycare Home Care Inc,8020 WOODLAND CENTER BLVD STE 100,TAMPA,FL,32653,Alachua,40.0,FL,Non-Profit,No,No,Yes,Yes,Yes,Yes,Yes,Yes,08/30/1989,5.0,3,0.945,13.0,20.0,1.0,90.0,91.0,1.0,67.0,71.0,1.0,94.0,87.0,0.86,87.0,81.0,0.8109999999999999,67.0,59.0,1.0,87.0,84.0,0.8590000000000001,90.0,82.0,0.902,92.0,91.0,0.951,95.0,91.0,0.922,82.0,81.0,0.927,97.0,92.0,0.963,58.0,65.0,0.857,91.0,90.0,0.142,30.0,B,0.11599999999999999,53.0,51.0,C,Worse Than Expected,D,Worse Than Expected,D,N/A,N/A,D,N/A,E,E,E,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.05715285074680709,0.07891721970000001,0.16522647051117487,0.1683925272,0.1999763201635727,0.1999792872,0.13951623684004513,0.1686206538,0.057047851501914916,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588,0.86,28.0,29.0,0.81,11.0,21.0,34.0,34.0,22.0,35.0,28.0,29.0,0.79,0.81,33.0,30.0,0.75,34.0,34.0,0.16610284167794317,,0.05040595399188092,0.036535859269282815,108.0,,0.125,,,0.0,0.05,0.175,0.2469553450608931,,0.025,0.05886332882273342,513,25,20170609,nan,2019/09
'107736,FL_Alachua,Better @ Home,3021 SW 27TH AVE,OCALA,FL,32667,Alachua,40.0,FL,For-Profit,No,No,Yes,Yes,Yes,Yes,Yes,Yes,10/31/2002,4.5,4,0.9890000000000001,73.0,68.0,0.9890000000000001,23.0,38.0,1.0,67.0,71.0,0.997,76.0,67.0,0.758,54.0,47.0,0.752,46.0,40.0,1.0,87.0,84.0,0.816,59.0,59.0,0.794,51.0,47.0,0.85,55.0,55.0,0.8859999999999999,74.0,68.0,0.857,59.0,65.0,0.9670000000000001,68.0,69.0,0.784,69.0,74.0,0.145,34.0,B,0.107,36.0,34.0,C,Worse Than Expected,D,Same As Expected,C,N/A,N/A,C,N/A,D,E,C,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.07333099539465843,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.14522646158104066,0.1686206538,0.057047851501914916,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588,0.91,89.0,80.0,0.88,70.0,72.0,67.0,62.0,70.0,71.0,89.0,80.0,0.84,0.86,68.0,65.0,0.8,67.0,62.0,0.16610284167794317,,0.05040595399188092,0.036535859269282815,108.0,,0.125,,,0.0,0.05,0.175,0.2469553450608931,,0.025,0.05886332882273342,92,33,20180726,20190409.0,2019/09
'109581,FL_Alachua,Brookdale Home Health,3325 WEDGEWOOD LN,THE VILLAGES,FL,32667,Alachua,40.0,FL,For-Profit,No,No,Yes,Yes,Yes,Yes,Yes,No,09/08/2010,4.0,3,0.9640000000000001,31.0,34.0,0.992,37.0,44.0,0.9940000000000001,10.0,14.0,0.981,36.0,38.0,0.8759999999999999,90.0,84.0,0.865,90.0,81.0,0.932,10.0,12.0,0.7959999999999999,49.0,47.0,0.789,47.0,44.0,0.815,28.0,36.0,0.81,35.0,38.0,0.8170000000000001,31.0,44.0,0.992,89.0,89.0,0.6890000000000001,31.0,39.0,0.147,36.0,B,0.122,72.0,64.0,C,Same As Expected,C,Same As Expected,C,N/A,N/A,C,N/A,C,A,A,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.0873906783259167,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.16155532829801603,0.1686206538,0.08379994087018598,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588,0.85,18.0,22.0,0.82,16.0,25.0,21.0,24.0,22.0,35.0,18.0,22.0,0.79,0.82,42.0,37.0,0.72,21.0,24.0,0.16610284167794317,,0.05040595399188092,0.036535859269282815,108.0,,0.125,,,0.0,0.05,0.175,0.2469553450608931,,0.025,0.05886332882273342,436,25,20160523,20170207.0,2019/09
'109754,FL_Alachua,Brooks Rehabilitation Home Health,3424 SAINT JOHNS AVE,PALATKA,FL,32607,Alachua,40.0,FL,Non-Profit,No,No,Yes,Yes,Yes,Yes,Yes,Yes,11/28/2011,4.0,4,0.978,44.0,48.0,0.998,72.0,73.0,1.0,67.0,71.0,0.996,68.0,63.0,0.807,79.0,67.0,0.8170000000000001,69.0,63.0,0.987,44.0,42.0,0.802,56.0,53.0,0.8079999999999999,59.0,57.0,0.857,62.0,58.0,0.852,62.0,55.0,0.7979999999999999,23.0,37.0,0.976,75.0,78.0,0.8420000000000001,85.0,86.0,0.159,53.0,C,0.10800000000000001,38.0,36.0,C,Worse Than Expected,D,Same As Expected,C,N/A,N/A,C,N/A,D,D,D,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.06722152867657201,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.14522646158104066,0.1686206538,0.05997008360517951,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588,0.9,76.0,72.0,0.88,70.0,72.0,74.0,69.0,70.0,71.0,76.0,72.0,0.84,0.86,68.0,65.0,0.81,74.0,69.0,0.16610284167794317,,0.05040595399188092,0.036535859269282815,108.0,,0.125,,,0.0,0.05,0.175,0.2469553450608931,,0.025,0.05886332882273342,462,33,20171010,20180420.0,2019/09
'108238,FL_Alachua,Carter Healthcare,980 DEL MAR DRIVE,THE VILLAGES,FL,32667,Alachua,40.0,FL,For-Profit,No,No,Yes,Yes,Yes,Yes,Yes,No,12/06/2005,5.0,4,0.997,88.0,85.0,1.0,90.0,91.0,1.0,67.0,71.0,0.9990000000000001,83.0,73.0,1.0,100.0,99.0,0.996,100.0,97.0,1.0,87.0,84.0,1.0,100.0,98.0,0.907,95.0,92.0,1.0,100.0,98.0,1.0,100.0,99.0,0.877,79.0,75.0,0.9129999999999999,14.0,21.0,0.9890000000000001,100.0,98.0,0.151,41.0,C,0.08800000000000001,12.0,16.0,B,Same As Expected,C,Worse Than Expected,D,N/A,N/A,C,N/A,E,A,A,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.0873906783259167,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.13951623684004513,0.1686206538,0.08379994087018598,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588,0.88,50.0,50.0,0.9,95.0,87.0,67.0,62.0,47.0,55.0,50.0,50.0,0.82,0.84,53.0,47.0,0.8,67.0,62.0,0.16610284167794317,,0.05040595399188092,0.036535859269282815,108.0,,0.125,,,0.0,0.05,0.175,0.2469553450608931,,0.025,0.05886332882273342,164,28,20170802,20190104.0,2019/09
'108320,FL_Alachua,Concierge Home Care,620 S LAKE ST  STE 3,LEESBURG,FL,32655,Alachua,40.0,FL,For-Profit,No,No,Yes,Yes,Yes,Yes,Yes,Yes,06/27/2006,5.0,4,0.998,96.0,89.0,0.996,54.0,61.0,0.9990000000000001,29.0,38.0,0.998,79.0,70.0,0.799,67.0,62.0,0.83,77.0,68.0,0.9990000000000001,71.0,67.0,0.8370000000000001,81.0,73.0,0.861,87.0,85.0,0.914,87.0,84.0,0.92,79.0,80.0,0.893,85.0,80.0,0.961,53.0,63.0,0.809,79.0,80.0,0.172,74.0,D,0.113,46.0,44.0,C,Same As Expected,C,Worse Than Expected,D,E,D,A,N/A,C,C,D,C,C,0.13452933334285733,0.1654796643,0.16323556765177735,0.1968206112,0.06722152867657201,0.07891721970000001,0.17969484015831969,0.1683925272,0.1999763201635727,0.1999792872,0.16155532829801603,0.1686206538,0.06693840071696654,0.0641277957,0.06278004029749262,0.1209888648,0.06106333233641651,0.2041557588,0.88,50.0,50.0,0.84,37.0,40.0,49.0,45.0,82.0,77.0,50.0,50.0,0.85,0.81,33.0,30.0,0.77,49.0,45.0,0.16610284167794317,2.0,0.05040595399188092,0.036535859269282815,108.0,1.0,0.125,2.0,2.0,0.0,0.05,0.175,0.2469553450608931,2.0,0.025,0.05886332882273342,265,30,20180615,20190301.0,2019/09
