provider_name,CMS_ID,Ecosystem_Name,address,city,state,zip_code,Ownership_Type,quality_of_patient_care_star_rating,hhcahps_survey_summary_star_rating,percent_of_patients_who_reported_that_their_home_health_team_discussed_medicines_pain_and_home_safety_with_them,percent_of_patients_who_reported_that_their_home_health_team_communicated_well_with_them,how_often_home_health_patients_had_to_be_admitted_to_the_hospital,alleg_total,def_total,pred_all_diff_ptile_rank,pred_med_diff_ptile_rank,pred_chf_diff_ptile_rank,pred_med_high_diff_ptile_rank,pred_med_low_diff_ptile_rank,pred_surg_high_risk_diff_ptile_rank,pred_surg_diff_ptile_rank,pred_surg_low_risk_diff_ptile_rank,pred_lung_diff_ptile_rank,pred_all_comp_rate,pred_all_state_rate,pred_med_other_comp_rate,pred_med_other_state_rate,pred_surg_other_comp_rate,pred_surg_other_state_rate,pred_CHF_comp_rate,pred_CHF_state_rate,pred_med_high_comp_rate,pred_med_high_state_rate,pred_med_low_comp_rate,pred_med_low_state_rate,pred_surg_high_comp_rate,pred_surg_high_state_rate,pred_surg_low_comp_rate,pred_surg_low_state_rate,pred_lung_diff_comp_rate,pred_lung_diff_state_rate
All About Home Care Management Llc,'103167,FL_Alachua,6158 SW STATE RD 200 STE 200,OCALA,FL,32608,For-Profit,4.0,4,0.83,0.9,0.161,,,N/A,N/A,C,N/A,C,B,B,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.08447946591005273,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.16155532829801603,0.1686206538,0.07476290969191579,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588
Amedisys Home Health,'107403,FL_Alachua,1045 OLD MILL RUN,THE VILLAGES,FL,32608,For-Profit,4.0,3,0.79,0.83,0.142,,,N/A,N/A,D,N/A,C,B,B,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.08447946591005273,0.07891721970000001,0.16522647051117487,0.1683925272,0.1999763201635727,0.1999792872,0.16155532829801603,0.1686206538,0.07476290969191579,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588
Amedisys Home Health,'109669,FL_Alachua,2772 NW 43RD ST STE C,GAINESVILLE,FL,32606,For-Profit,4.0,4,0.88,0.89,0.158,,,N/A,N/A,C,N/A,D,C,B,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.08447946591005273,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.14522646158104066,0.1686206538,0.06693840071696654,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588
Baycare Home Care Inc,'107282,FL_Alachua,20 LAKE WIRE DR STE 230,LAKELAND,FL,32640,Non-Profit,4.5,3,0.8,0.87,0.16899999999999998,,1.0,N/A,D,B,N/A,E,D,E,D,C,0.1654735041007257,0.1654796643,0.16323556765177735,0.1968206112,0.05715285074680709,0.07891721970000001,0.17159265231340243,0.1683925272,0.1999763201635727,0.1999792872,0.13951623684004513,0.1686206538,0.05997008360517951,0.0641277957,0.05221834576595843,0.1209888648,0.06106333233641651,0.2041557588
Baycare Home Care Inc,'107285,FL_Alachua,8020 WOODLAND CENTER BLVD STE 100,TAMPA,FL,32653,Non-Profit,5.0,3,0.79,0.81,0.142,,,N/A,N/A,D,N/A,E,E,E,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.05715285074680709,0.07891721970000001,0.16522647051117487,0.1683925272,0.1999763201635727,0.1999792872,0.13951623684004513,0.1686206538,0.057047851501914916,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588
Better @ Home,'107736,FL_Alachua,3021 SW 27TH AVE,OCALA,FL,32667,For-Profit,4.5,4,0.84,0.88,0.145,,,N/A,N/A,C,N/A,D,E,C,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.07333099539465843,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.14522646158104066,0.1686206538,0.057047851501914916,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588
Brookdale Home Health,'109581,FL_Alachua,3325 WEDGEWOOD LN,THE VILLAGES,FL,32667,For-Profit,4.0,3,0.79,0.82,0.147,,,N/A,N/A,C,N/A,C,A,A,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.0873906783259167,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.16155532829801603,0.1686206538,0.08379994087018598,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588
Brooks Rehabilitation Home Health,'109754,FL_Alachua,3424 SAINT JOHNS AVE,PALATKA,FL,32607,Non-Profit,4.0,4,0.84,0.88,0.159,,,N/A,N/A,C,N/A,D,D,D,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.06722152867657201,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.14522646158104066,0.1686206538,0.05997008360517951,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588
Carter Healthcare,'108238,FL_Alachua,980 DEL MAR DRIVE,THE VILLAGES,FL,32667,For-Profit,5.0,4,0.82,0.9,0.151,,,N/A,N/A,C,N/A,E,A,A,N/A,N/A,0.1654735041007257,0.1654796643,0.19680517496920744,0.1968206112,0.0873906783259167,0.07891721970000001,0.16744568757367265,0.1683925272,0.1999763201635727,0.1999792872,0.13951623684004513,0.1686206538,0.08379994087018598,0.0641277957,0.12096323795863699,0.1209888648,0.08271255006118507,0.2041557588
Concierge Home Care,'108320,FL_Alachua,620 S LAKE ST  STE 3,LEESBURG,FL,32655,For-Profit,5.0,4,0.85,0.84,0.172,2.0,2.0,E,D,A,N/A,C,C,D,C,C,0.13452933334285733,0.1654796643,0.16323556765177735,0.1968206112,0.06722152867657201,0.07891721970000001,0.17969484015831969,0.1683925272,0.1999763201635727,0.1999792872,0.16155532829801603,0.1686206538,0.06693840071696654,0.0641277957,0.06278004029749262,0.1209888648,0.06106333233641651,0.2041557588
