provider_name,address,PRVDR_NUM,state,zip,SRVY_DT,SRVY_CYC_CD,DFCNCY_TAG_NUM,tagcount_lastsurv,tagcount_complaint
TRILOGY HOME HEALTHCARE,10855 BOYETTE RD,103145,FL,33569,2019-02-15,Complaint,G-0608,,2.0
TRILOGY HOME HEALTHCARE,10855 BOYETTE RD,103145,FL,33569,2019-02-15,Complaint,G-0610,,2.0
BEST PCS LLC,1617 SE PORT ST LUCIE BLVD,103149,FL,34952,2019-01-02,Standard,G-0572,4.0,
BEST PCS LLC,1617 SE PORT ST LUCIE BLVD,103149,FL,34952,2019-01-02,Standard,G-0574,4.0,
BEST PCS LLC,1617 SE PORT ST LUCIE BLVD,103149,FL,34952,2019-01-02,Standard,G-0706,4.0,
BEST PCS LLC,1617 SE PORT ST LUCIE BLVD,103149,FL,34952,2019-01-02,Standard,G-0948,4.0,
MATRIX HOME CARE LLC,1421 OAKFIELD DRIVE,103161,FL,33511,2019-02-06,Standard,E-0004,4.0,
MATRIX HOME CARE LLC,1421 OAKFIELD DRIVE,103161,FL,33511,2019-02-06,Standard,G-0412,4.0,
MATRIX HOME CARE LLC,1421 OAKFIELD DRIVE,103161,FL,33511,2019-02-06,Standard,G-0478,4.0,
MATRIX HOME CARE LLC,1421 OAKFIELD DRIVE,103161,FL,33511,2019-02-06,Standard,G-0682,4.0,
SENIOR HEARTS HOME HEALTH AGENCY,4400 N FEDERAL HWY STE 32,103163,FL,33431,2019-01-23,Complaint,G-0590,,2.0
SENIOR HEARTS HOME HEALTH AGENCY,4400 N FEDERAL HWY STE 32,103163,FL,33431,2019-01-23,Complaint,G-0962,,2.0
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,E-0006,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,E-0009,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,E-0021,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,E-0023,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,E-0024,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,E-0032,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,E-0037,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,E-0039,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,G-0546,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,G-0574,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,G-0578,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,G-0710,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,G-0768,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,G-0812,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,G-0968,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,G-1012,17.0,
SOUTH FLORIDA PEDIATRIC HOMECARE INC,5793 NW 151ST ST UNIT 5793B,103176,FL,33014,2019-01-30,Standard,G-1024,17.0,
PREFERRED TOUCH HOME CARE INC,510 VONDERBURG DR STE 308,103180,FL,33511,2018-10-26,Complaint,G-0570,,3.0
PREFERRED TOUCH HOME CARE INC,510 VONDERBURG DR STE 308,103180,FL,33511,2018-10-26,Complaint,G-0572,,3.0
PREFERRED TOUCH HOME CARE INC,510 VONDERBURG DR STE 308,103180,FL,33511,2018-10-26,Complaint,G-0590,,3.0
HATS HOME HEALTH NURSING SERVICES LLC,3100 S CONGRESS AVE UNIT 1,103189,FL,33426,2019-04-16,Complaint,G-1014,,3.0
HATS HOME HEALTH NURSING SERVICES LLC,3100 S CONGRESS AVE UNIT 1,103189,FL,33426,2019-04-16,Complaint,G-1024,,3.0
HATS HOME HEALTH NURSING SERVICES LLC,3100 S CONGRESS AVE UNIT 1,103189,FL,33426,2019-04-16,Complaint,G-1028,,3.0
AMERIVITA HOME CARE INC,13340 W COLONIAL DR STE 240,103192,FL,34787,2018-03-15,Complaint,G-0374,,5.0
AMERIVITA HOME CARE INC,13340 W COLONIAL DR STE 240,103192,FL,34787,2018-03-15,Complaint,G-0514,,5.0
AMERIVITA HOME CARE INC,13340 W COLONIAL DR STE 240,103192,FL,34787,2018-03-15,Complaint,G-0584,,5.0
AMERIVITA HOME CARE INC,13340 W COLONIAL DR STE 240,103192,FL,34787,2018-03-15,Complaint,G-0590,,5.0
AMERIVITA HOME CARE INC,13340 W COLONIAL DR STE 240,103192,FL,34787,2018-03-15,Complaint,G-0952,,5.0
MUNROE REGIONAL HOMECARE LLC,2201 SE 30TH AVENUE SUITE 301,107009,FL,34474,2017-08-03,Standard,G-0574,1.0,
KINDRED AT HOME,4511 N HIMES AVE STE 240,107017,FL,33614,2016-09-28,Standard,G-0153,7.0,
KINDRED AT HOME,4511 N HIMES AVE STE 240,107017,FL,33614,2016-09-28,Standard,G-0179,7.0,
KINDRED AT HOME,4511 N HIMES AVE STE 240,107017,FL,33614,2016-09-28,Standard,G-0580,7.0,
KINDRED AT HOME,4511 N HIMES AVE STE 240,107017,FL,33614,2016-09-28,Standard,G-0582,7.0,
KINDRED AT HOME,4511 N HIMES AVE STE 240,107017,FL,33614,2016-09-28,Standard,G-0590,7.0,
KINDRED AT HOME,4511 N HIMES AVE STE 240,107017,FL,33614,2016-09-28,Standard,G-0948,7.0,
KINDRED AT HOME,4511 N HIMES AVE STE 240,107017,FL,33614,2016-09-28,Standard,G-1022,7.0,
MEDERI CARETENDERS,1285 36TH ST STE 201,107036,FL,32960,2017-01-06,Standard,G-0158,5.0,
